   Time                    Number Of Iterations To Converge
  0.000000000000000E+000           0
  0.266666666666667                4
  0.533333333333333                3
  0.800000000000000                3
   1.06666666666667                3
   1.33333333333333                3
   1.60000000000000                3
   1.86666666666667                3
   2.13333333333333                3
   2.40000000000000                3
   2.66666666666667                3
   2.93333333333333                3
   3.20000000000000                3
   3.46666666666667                3
   3.73333333333333                3
   4.00000000000000                3
   4.26666666666667                3
   4.53333333333333                3
   4.80000000000000                3
   5.06666666666667                3
   5.33333333333333                3
   5.60000000000000                3
   5.86666666666667                3
   6.13333333333333                3
   6.40000000000000                3
   6.66666666666667                3
   6.93333333333333                3
   7.20000000000000                3
   7.46666666666667                3
   7.73333333333333                3
   8.00000000000000                3
